PROGRAMMABLE_BUTTON_29 QK_PROGRAMMABLE_BUTTON_29
PROGRAMMABLE_BUTTON_30 QK_PROGRAMMABLE_BUTTON_30
PROGRAMMABLE_BUTTON_31 QK_PROGRAMMABLE_BUTTON_31
PROGRAMMABLE_BUTTON_32 QK_PROGRAMMABLE_BUTTON_32

JS_BUTTON0 QK_JOYSTICK_BUTTON_0
JS_BUTTON1 QK_JOYSTICK_BUTTON_1
JS_BUTTON2 QK_JOYSTICK_BUTTON_2
JS_BUTTON3 QK_JOYSTICK_BUTTON_3
JS_BUTTON4 QK_JOYSTICK_BUTTON_4
JS_BUTTON5 QK_JOYSTICK_BUTTON_5
JS_BUTTON6 QK_JOYSTICK_BUTTON_6
JS_BUTTON7 QK_JOYSTICK_BUTTON_7
JS_BUTTON8 QK_JOYSTICK_BUTTON_8
JS_BUTTON9 QK_JOYSTICK_BUTTON_9
JS_BUTTON10 QK_JOYSTICK_BUTTON_10
JS_BUTTON11 QK_JOYSTICK_BUTTON_11
JS_BUTTON12 QK_JOYSTICK_BUTTON_12
JS_BUTTON13 QK_JOYSTICK_BUTTON_13
JS_BUTTON14 QK_JOYSTICK_BUTTON_14
JS_BUTTON15 QK_JOYSTICK_BUTTON_15
JS_BUTTON16 QK_JOYSTICK_BUTTON_16
JS_BUTTON17 QK_JOYSTICK_BUTTON_17
JS_BUTTON18 QK_JOYSTICK_BUTTON_18
JS_BUTTON19 QK_JOYSTICK_BUTTON_19
JS_BUTTON20 QK_JOYSTICK_BUTTON_20
JS_BUTTON21 QK_JOYSTICK_BUTTON_21
JS_BUTTON22 QK_JOYSTICK_BUTTON_22
JS_BUTTON23 QK_JOYSTICK_BUTTON_23
JS_BUTTON24 QK_JOYSTICK_BUTTON_24
JS_BUTTON25 QK_JOYSTICK_BUTTON_25
JS_BUTTON26 QK_JOYSTICK_BUTTON_26
JS_BUTTON27 QK_JOYSTICK_BUTTON_27
JS_BUTTON28 QK_JOYSTICK_BUTTON_28
JS_BUTTON29 QK_JOYSTICK_BUTTON_29
JS_BUTTON30 QK_JOYSTICK_BUTTON_30
JS_BUTTON31 QK_JOYSTICK_BUTTON_31

SECURE_LOCK QK_SECURE_LOCK
SECURE_UNLOCK QK_SECURE_UNLOCK
SECURE_TOGGLE QK_SECURE_TOGGLE
SECURE_REQUEST QK_SECURE_REQUEST

KC_LSPO QK_SPACE_CADET_LEFT_SHIFT_PARENTHESIS_OPEN
KC_RSPC QK_SPACE_CADET_RIGHT_SHIFT_PARENTHESIS_CLOSE
KC_LCPO QK_SPACE_CADET_LEFT_CTRL_PARENTHESIS_OPEN
KC_RCPC QK_SPACE_CADET_RIGHT_CTRL_PARENTHESIS_CLOSE
KC_LAPO QK_SPACE_CADET_LEFT_ALT_PARENTHESIS_OPEN
KC_RAPC QK_SPACE_CADET_RIGHT_ALT_PARENTHESIS_CLOSE
KC_SFTENT QK_SPACE_CADET_RIGHT_SHIFT_ENTER

BL_DEC QK_BACKLIGHT_DOWN
BL_INC QK_BACKLIGHT_UP

AU_TOG QK_AUDIO_TOGGLE
CLICKY_TOGGLE QK_AUDIO_CLICKY_TOGGLE
CLICKY_ENABLE QK_AUDIO_CLICKY_ON
CLICKY_DISABLE QK_AUDIO_CLICKY_OFF
CLICKY_UP QK_AUDIO_CLICKY_UP
CLICKY_DOWN QK_AUDIO_CLICKY_DOWN
CLICKY_RESET QK_AUDIO_CLICKY_RESET
MU_TOG QK_MUSIC_TOGGLE
MU_MOD QK_MUSIC_MODE_NEXT
MUV_IN QK_AUDIO_VOICE_NEXT
MUV_DE QK_AUDIO_VOICE_PREVIOUS

MI_TOG QK_MIDI_TOGGLE
MI_C_1 QK_MIDI_NOTE_C_1
MI_Cs_1 QK_MIDI_NOTE_C_SHARP_1
MI_Db_1 QK_MIDI_NOTE_C_SHARP_1
MI_D_1 QK_MIDI_NOTE_D_1
MI_Ds_1 QK_MIDI_NOTE_D_SHARP_1
MI_Eb_1 QK_MIDI_NOTE_D_SHARP_1
MI_E_1 QK_MIDI_NOTE_E_1
MI_F_1 QK_MIDI_NOTE_F_1
MI_Fs_1 QK_MIDI_NOTE_F_SHARP_1
MI_Gb_1 QK_MIDI_NOTE_F_SHARP_1
MI_G_1 QK_MIDI_NOTE_G_1
MI_Gs_1 QK_MIDI_NOTE_G_SHARP_1
MI_Ab_1 QK_MIDI_NOTE_G_SHARP_1
MI_A_1 QK_MIDI_NOTE_A_1
MI_As_1 QK_MIDI_NOTE_A_SHARP_1
MI_Bb_1 QK_MIDI_NOTE_A_SHARP_1
MI_B_1 QK_MIDI_NOTE_B_1
MI_C_2 QK_MIDI_NOTE_C_2
MI_Cs_2 QK_MIDI_NOTE_C_SHARP_2
MI_Db_2 QK_MIDI_NOTE_C_SHARP_2
MI_D_2 QK_MIDI_NOTE_D_2
MI_Ds_2 QK_MIDI_NOTE_D_SHARP_2
MI_Eb_2 QK_MIDI_NOTE_D_SHARP_2
MI_E_2 QK_MIDI_NOTE_E_2
MI_F_2 QK_MIDI_NOTE_F_2
MI_Fs_2 QK_MIDI_NOTE_F_SHARP_2
MI_Gb_2 QK_MIDI_NOTE_F_SHARP_2
MI_G_2 QK_MIDI_NOTE_G_2
MI_Gs_2 QK_MIDI_NOTE_G_SHARP_2
MI_Ab_2 QK_MIDI_NOTE_G_SHARP_2
MI_A_2 QK_MIDI_NOTE_A_2
MI_As_2 QK_MIDI_NOTE_A_SHARP_2
MI_Bb_2 QK_MIDI_NOTE_A_SHARP_2
MI_B_2 QK_MIDI_NOTE_B_2
MI_C_3 QK_MIDI_NOTE_C_3
MI_Cs_3 QK_MIDI_NOTE_C_SHARP_3
MI_Db_3 QK_MIDI_NOTE_C_SHARP_3
MI_D_3 QK_MIDI_NOTE_D_3
MI_Ds_3 QK_MIDI_NOTE_D_SHARP_3
MI_Eb_3 QK_MIDI_NOTE_D_SHARP_3
MI_E_3 QK_MIDI_NOTE_E_3
MI_F_3 QK_MIDI_NOTE_F_3
MI_Fs_3 QK_MIDI_NOTE_F_SHARP_3
MI_Gb_3 QK_MIDI_NOTE_F_SHARP_3
MI_G_3 QK_MIDI_NOTE_G_3
MI_Gs_3 QK_MIDI_NOTE_G_SHARP_3
MI_Ab_3 QK_MIDI_NOTE_G_SHARP_3
MI_A_3 QK_MIDI_NOTE_A_3
MI_As_3 QK_MIDI_NOTE_A_SHARP_3
MI_Bb_3 QK_MIDI_NOTE_A_SHARP_3
MI_B_3 QK_MIDI_NOTE_B_3
MI_C_4 QK_MIDI_NOTE_C_4
MI_Cs_4 QK_MIDI_NOTE_C_SHARP_4
MI_Db_4 QK_MIDI_NOTE_C_SHARP_4
MI_D_4 QK_MIDI_NOTE_D_4
MI_Ds_4 QK_MIDI_NOTE_D_SHARP_4
MI_Eb_4 QK_MIDI_NOTE_D_SHARP_4
MI_E_4 QK_MIDI_NOTE_E_4
MI_F_4 QK_MIDI_NOTE_F_4
MI_Fs_4 QK_MIDI_NOTE_F_SHARP_4
MI_Gb_4 QK_MIDI_NOTE_F_SHARP_4
MI_G_4 QK_MIDI_NOTE_G_4
MI_Gs_4 QK_MIDI_NOTE_G_SHARP_4
MI_Ab_4 QK_MIDI_NOTE_G_SHARP_4
MI_A_4 QK_MIDI_NOTE_A_4
MI_As_4 QK_MIDI_NOTE_A_SHARP_4
MI_Bb_4 QK_MIDI_NOTE_A_SHARP_4
MI_B_4 QK_MIDI_NOTE_B_4
MI_C_5 QK_MIDI_NOTE_C_5
MI_Cs_5 QK_MIDI_NOTE_C_SHARP_5
MI_Db_5 QK_MIDI_NOTE_C_SHARP_5
MI_D_5 QK_MIDI_NOTE_D_5
MI_Ds_5 QK_MIDI_NOTE_D_SHARP_5
MI_Eb_5 QK_MIDI_NOTE_D_SHARP_5
MI_E_5 QK_MIDI_NOTE_E_5
MI_F_5 QK_MIDI_NOTE_F_5
MI_Fs_5 QK_MIDI_NOTE_F_SHARP_5
MI_Gb_5 QK_MIDI_NOTE_F_SHARP_5
MI_G_5 QK_MIDI_NOTE_G_5
MI_Gs_5 QK_MIDI_NOTE_G_SHARP_5
MI_Ab_5 QK_MIDI_NOTE_G_SHARP_5
MI_A_5 QK_MIDI_NOTE_A_5
MI_As_5 QK_MIDI_NOTE_A_SHARP_5
MI_Bb_5 QK_MIDI_NOTE_A_SHARP_5
MI_B_5 QK_MIDI_NOTE_B_5
MI_OCT_N2 QK_MIDI_OCTAVE_N2
MI_OCT_N1 QK_MIDI_OCTAVE_N1
MI_OCT_0 QK_MIDI_OCTAVE_0
MI_OCT_1 QK_MIDI_OCTAVE_1
MI_OCT_2 QK_MIDI_OCTAVE_2
MI_OCT_3 QK_MIDI_OCTAVE_3
